Original,"Different Meaning, Minimal Changes","Same Meaning, Worded Differently"
"Assignment. Neither party shall assign their rights or delegate their duties under this Agreement, in whole or in part, without first receiving written consent from the other party hereto, which consent shall not be unreasonably withheld. Notwithstanding the foregoing, Supplier shall be entitled to assign this Agreement in full to GPM Petroleum LP or any wholly-owned subsidiary of GPM Petroleum LP without the prior written consent of Purchaser by providing notice to Purchaser.","Assignment. Either party may assign their rights or delegate their duties under this Agreement, in whole or in part, without first receiving written consent from the other party hereto, which consent shall not be unreasonably withheld. Notwithstanding the foregoing, Supplier may not assign this Agreement in full to GPM Petroleum LP or any wholly-owned subsidiary of GPM Petroleum LP without the prior written consent of Purchaser by providing notice to Purchaser.","No Assignment
No party may transfer its rights or delegate its obligations under this Agreement, whether in full or in part, without obtaining prior written approval from the other party, which shall not be unreasonably withheld. However, notwithstanding this restriction, the Supplier is permitted to assign this Agreement in its entirety to GPM Petroleum LP or any of its wholly-owned subsidiaries without requiring prior written consent from the Purchaser, provided that the Purchaser is given formal notice of such assignment."
"Assignment. This Agreement, and the Distributor’s rights and obligations hereunder, shall not be assigned in whole or in part by the Distributor without the prior written consent of Supplier. Any attempted assignment or delegation without such consent shall be void and of no effect. The Parties agree that the Supplier shall have the right to assign all of its rights and obligations under this Agreement to an entity not a party to this Distribution Agreement provided that such Entity undertakes the obligations of the Supplier.","Assignment. This Agreement, and the Distributor’s rights and obligations hereunder, may be assigned in whole or in part by the Distributor without the prior written consent of Supplier. Any attempted assignment or delegation without such consent shall be valid and of effect. The Parties agree that the Supplier shall not have the right to assign all of its rights and obligations under this Agreement to an entity not a party to this Distribution Agreement provided that such Entity undertakes the obligations of the Supplier.","No Assignment. The Distributor may not transfer or delegate any of its rights or obligations under this Agreement, whether in whole or in part, without first obtaining the Supplier’s prior written approval. Any attempt to assign or delegate without such consent shall be considered null and unenforceable. However, the Parties acknowledge that the Supplier retains the right to transfer all of its rights and responsibilities under this Agreement to a third party, provided that the transferee assumes all of the Supplier’s contractual obligations."
No Assignment: Neither Party hereto shall have the right to assign or transfer any of its rights hereunder except in connection with a merger of consolidation of such Party or a sale by such Party of all or substantially all of its business and assets provided that the successor entity agrees to assume the assigning Party's obligations pursuant to this Agreement.,No Assignment: Either Party hereto shall have the right to assign or transfer any of its rights hereunder except in connection with a merger of consolidation of such Party or a sale by such Party of all or substantially all of its business and assets provided that the successor entity agrees to assume the assigning Party's obligations pursuant to this Agreement.,"Assignment. Neither Party shall assign or transfer any of its rights under this Agreement, except in the event of a merger, consolidation, or the sale of all or a substantial portion of its business and assets. In such cases, the assignment shall only be permitted if the acquiring or successor entity agrees to take on all obligations of the assigning Party under this Agreement."
"This Agreement is not assignable by either party hereto, without a written consent from the other party;","This Agreement is assignable by either party hereto, without a written consent from the other party;",Neither party may transfer or assign this Agreement without first obtaining written approval from the other party.
"Assignment, Subletting. Purchaser shall have no right whatsoever to enter into any license, assignment, sublease, pledge or other occupancy agreement with respect to the Sub-Leased Premises or to permit any other person or entity other than Purchaser to occupy the Sub-Leased Premises ASSIGNMENT; SUCCESSORS AND ASSIGNS The Parties may not assign this Agreement or any of their rights or obligations under this Agreement without the prior written consent of the other Parties. This Agreement shall inure to the benefit of and be binding upon the Parties and their respective successors and permitted assigns. Nothing in this Agreement, express or implied, is intended to confer upon any Person other than the Parties, or their respective successors or permitted assigns, any rights or remedies under or by reason of this Agreement. Any attempted assignment in violation of this Section 10 shall be null and void. Any attempted assignment in violation of this Section 10 shall be null and void.","Assignment, Subletting. Purchaser shall have the right to enter into any license, assignment, sublease, pledge or other occupancy agreement with respect to the Sub-Leased Premises or to permit any other person or entity other than Purchaser to occupy the Sub-Leased Premises ASSIGNMENT; SUCCESSORS AND ASSIGNS The Parties may assign this Agreement or any of their rights or obligations under this Agreement without the prior written consent of the other Parties. This Agreement shall not inure to the benefit of and be binding upon the Parties and their respective successors and permitted assigns. Anything in this Agreement, express or implied, is intended to confer upon any Person other than the Parties, or their respective successors or permitted assigns, any rights or remedies under or by reason of this Agreement. Any attempted assignment in violation of this Section 10 shall be accepted. Any attempted assignment in violation of this Section 10 shall be accepted.","**Transfer and Subleasing Restrictions**

The Buyer is strictly prohibited from forming any license, transfer, sublease, pledge, or similar occupancy arrangement related to the Sub-Leased Premises. Additionally, the Buyer is not allowed to enable any individual or entity other than themselves to occupy the Sub-Leased Premises.

**Assignment; Successors and Assignees**

Neither party is allowed to transfer this Agreement, nor any of the rights or obligations it encompasses, without obtaining prior written approval from the other parties involved. The terms of this Agreement shall benefit and obligate the Parties as well as their successors and any assigns that are lawfully permitted. No provisions of this Agreement are intended to grant any rights or remedies to any individual or entity that is not a Party or a permitted successor or assignee. Any attempt to assign this Agreement that contravenes this section shall be considered invalid and have no legal effect."
Consultant may not assign or delegate this Agreement or any of Consultant’s rights or obligations under this Agreement without the prior written consent of the Company. Any attempted assignment or delegation without the necessary consent shall be void.,Consultant may assign or delegate this Agreement or any of Consultant’s rights or obligations under this Agreement without the prior written consent of the Company. Any attempted assignment or delegation without the necessary consent shall be allowed.,"Without prior written approval from the Company, the Consultant is prohibited from assigning or delegating this Agreement or any associated rights or duties. Any attempt to assign or delegate without obtaining such consent will be considered invalid."
"Either Party may assign this Agreement or its rights or interests hereunder in whole or in part, or delegate its obligations hereunder in whole or in part, with the prior written consent of the other Party, which consent shall not be unreasonably withheld.","Neither Party may assign this Agreement or its rights or interests hereunder in whole or in part, or delegate its obligations hereunder in whole or in part, with the prior written consent of the other Party, which consent shall not be unreasonably withheld.","Assignment and Delegation

With the other Party's prior written approval, which must not be withheld unreasonably, each Party retains the right to transfer this Agreement, including any of its rights or interests, in full or partially, or to delegate any obligations, whether fully or in part."
"Assignment.  This Agreement may not be assigned or otherwise transferred by either Party without the prior written consent of the other Party; provided, however, that (a) LipoScience may, without such consent from Agilent, assign its rights together with its obligations under this Agreement to any entity acquiring substantially all of its assets or stock, or its business relating to the Vantera Analyzer, or with which it may merge and (b) Agilent may, without consent from LipoScience, assign its rights together with its obligations under this Agreement to any entity acquiring substantially all the assets of its NMR business, or with which it may merge; provided, however, that such Party’s rights and obligations under this Agreement shall be assumed by its successor in interest in any such transaction. Any purported assignment in violation of the preceding sentence shall be void. Any permitted assignee shall assume all obligations of its assignor under this Agreement.","Assignment.  This Agreement may be assigned or otherwise transferred by either Party without the prior written consent of the other Party; provided, however, that (a) LipoScience may not, without such consent from Agilent, assign its rights together with its obligations under this Agreement to any entity acquiring substantially all of its assets or stock, or its business relating to the Vantera Analyzer, or with which it may merge and (b) Agilent may not, without consent from LipoScience, assign its rights together with its obligations under this Agreement to any entity acquiring substantially all the assets of its NMR business, or with which it may merge; provided, however, that such Party’s rights and obligations under this Agreement shall not be assumed by its successor in interest in any such transaction. Any purported assignment in violation of the preceding sentence shall be allowed. Any permitted assignee shall not assume all obligations of its assignor under this Agreement.","Transfer of Rights and Duties

Neither Party is allowed to transfer or assign this Agreement without obtaining prior written approval from the other Party. However, exceptions to this requirement permit LipoScience to assign its rights and duties under this Agreement to a successor, should it merge or sell nearly all its assets, stock, or operations related to the Vantera Analyzer, without needing Agilent’s consent. Similarly, Agilent may transfer its rights and obligations under this Agreement to another entity acquiring almost all assets related to its NMR business or merging with it, without requiring consent from LipoScience. It is crucial that in any such transfer, the new entity assumes the obligations and rights described in this Agreement. Any assignment attempted in breach of this provision is considered void. Additionally, any party that is allowed to take over this Agreement must fulfill all responsibilities of the original Party."
"This Agreement, and any rights or duties under it may not be assigned or delegated by Buyer; any attempted assignment or delegation by Buyer will be void. (E) In the event of a sale or transfer of all or substantially all ofBuyer’s equity shares or assets, or a controlling interest in either, by merger, acquisition, exchange, joint venture, or other similar transaction, Seller may, at its sole option, immediately terminate this Agreement.","This Agreement, and any rights or duties under it may be assigned or delegated by Buyer; any attempted assignment or delegation by Buyer will be permitted. (E) In the event of a sale or transfer of all or substantially all ofBuyer’s equity shares or assets, or a controlling interest in either, by merger, acquisition, exchange, joint venture, or other similar transaction, Seller may not, at its sole option, immediately terminate this Agreement.","Assignment and Delegation Restrictions

The Buyer is prohibited from assigning or delegating any rights or obligations under this Agreement. Any effort by the Buyer to assign or delegate will be considered invalid. (E) Should there be a sale or transfer involving the majority or entirety of the Buyer’s equity shares, assets, or a controlling interest—whether through merger, acquisition, exchange, joint venture, or other comparable transactions—the Seller retains the exclusive right to terminate this Agreement without delay."
"Assignment. You will not assign this Agreement, or delegate or sublicense any of your rights under this Agreement, without our prior written consent. Any assignment or transfer in violation of this Section 13.8 will be void.","Assignment. You may assign this Agreement, or delegate or sublicense any of your rights under this Agreement, without our prior written consent. Any assignment or transfer in violation of this Section 13.8 will be allowed.","Transfer of Rights  
You are prohibited from transferring this Agreement or any rights under it, whether through assignment, delegation, or sublicensing, without obtaining our prior written consent. Any such transfer or assignment that contravenes this Section 13.8 shall be deemed null and void."
