Original,"Different Meaning, Minimal Changes","Same Meaning, Worded Differently"
UPS shall upon reasonable advance request from GUPTA not more than once annually send copies of these records to GUPTA for review.,UPS shall upon reasonable advance request from GUPTA only more than once annually send copies of these records to GUPTA for review.,"Upon receiving a reasonable prior request from GUPTA, not exceeding one per year, UPS is obligated to dispatch copies of these records to GUPTA for examination."
"At its expense, FCE may, by its designated independent public accountants, audit the royalty amounts reported by POSCO Power no more than once a year. To the extent any sales are made by any POSCO Affiliates, POSCO Power agrees to furnish to FCE copies of relevant books and records of the POSCO Affiliates for the sole purpose of such audit by FCE","At its expense, FCE may not, by its designated independent public accountants, audit the royalty amounts reported by POSCO Power no more than once a year. To the extent any sales are made by any POSCO Affiliates, POSCO Power does not agree to furnish to FCE copies of relevant books and records of the POSCO Affiliates for the sole purpose of such audit by FCE","FCE is entitled, at its own cost, to conduct an annual audit of the royalty amounts declared by POSCO Power. This audit will be carried out by independent public accountants chosen by FCE. Additionally, if any transactions are conducted by POSCO Affiliates, POSCO Power commits to providing FCE with copies of pertinent books and records from the POSCO Affiliates. The sole purpose for this provision of documents is to facilitate the aforementioned audit by FCE."
"Landlord shall be entitled at all reasonable times during business hours, through Landlord’s duly authorized agents, attorneys, or accountants, to inspect and make copies of any and all such records and books of account.","Landlord shall not be entitled at all reasonable times during business hours, through Landlord’s duly authorized agents, attorneys, or accountants, to inspect and make copies of any and all such records and books of account.","Landlord's Right of Inspection

The Landlord, either personally or through their authorized representatives, including agents, lawyers, or accountants, may access and duplicate any and all such records and accounting books at any reasonable time during normal business hours."
"Allow Bank, or its agents, at reasonable times, on three (3) Business Day’s notice (provided no notice is required if an Event of Default has occurred and is continuing), to inspect and audit and copy Borrower’s Books. The foregoing inspections and audits shall be at Borrower’s expense.","Allow Bank, or its agents, at reasonable times, on three (3) Business Day’s notice (provided no notice is required if an Event of Default has occurred and is continuing), to inspect and audit and copy Borrower’s Books. The foregoing inspections and audits shall be at Allow Bank's expense.","Permit the Bank or its representatives to examine, audit, and duplicate the Borrower's records, given a notice of three (3) Business Days, unless an Event of Default has transpired and persists, in which case no notice is necessary. Such inspections and audits will be conducted at the Borrower's cost."
"The Borrower shall permit any authorized representatives designated by a Lender to visit and inspect any of the properties of the Borrower, to inspect, copy and take extracts from its financial and accounting records, and to discuss its afairs, finances and accounts with its oficers and independent public accountants, all upon reasonable notice and at such reasonable times during normal business hours. The reasonable out-of-pocket expenses of the Lenders in connection with such inspections shall be payable by the Borrower.","The Borrower shall permit any authorized representatives designated by a Lender to visit and inspect any of the properties of the Borrower, to inspect, copy and take extracts from its financial and accounting records, and to discuss its afairs, finances and accounts with its oficers and independent public accountants, all upon reasonable notice and at such reasonable times during normal business hours. The reasonable out-of-pocket expenses of the Lenders in connection with such inspections shall be payable by the Borrower.","**Borrower's Inspection Obligations**

The Borrower agrees to allow any representatives appointed by a Lender to enter and examine any of the Borrower's properties. These representatives may review, duplicate, and extract information from the Borrower's financial and accounting records. Additionally, they are entitled to discuss the Borrower's matters, financial status, and accounts with its officers and independent public accountants. These activities must be conducted with reasonable prior notice and occur at reasonable times during normal business hours. Any reasonable out-of-pocket expenses incurred by the Lenders for such inspections will be the responsibility of the Borrower to reimburse."
Mosaic shall have the right to inspect such records from time to time and to make copies of such records.,Mosaic shall have no right to inspect records from time to time nor to make copies of such records.,Mosaic is entitled to periodically review these records and create duplicates as necessary.
"Licensor and its representatives may upon fourteen (14) days’ prior written notice and during usual business hours audit said books of account and records and make copies thereof at Licensor’s expense. All audits shall be at Licensor’s expense, except that if the audit reveals (i) Licensor is entitled to payments equal to Five Thousand Dollars ($5,000) or more in addition to the amounts previously paid by Licensee to Licensor, or (ii) Licensee has underpaid royalties to Licensor by more than five percent (5%) in a calendar quarter, then Licensee shall repay the amount due plus interest in accordance with paragraph 8 above and shall also pay all costs of the audit.","Licensor and its representatives may not upon fourteen (14) days’ prior written notice and during usual business hours audit said books of account and records and make copies thereof at Licensor’s expense. All audits shall not be at Licensor’s expense, except that if the audit reveals (i) Licensor is entitled to payments equal to Five Thousand Dollars ($5,000) or more in addition to the amounts previously paid by Licensee to Licensor, or (ii) Licensee has underpaid royalties to Licensor by more than five percent (5%) in a calendar quarter, then Licensee shall not repay the amount due plus interest in accordance with paragraph 8 above and shall also pay all costs of the audit.","**Inspection Rights and Obligations**

The Licensor, along with its appointed representatives, is allowed to review the books of account and records following a written notification given at least fourteen (14) days in advance. This review must take place during regular business hours, and any copies made during this process will be at the Licensor's cost. Generally, the Licensor shall cover all audit expenses; however, should the audit determine that (i) the Licensor is owed an additional sum of Five Thousand Dollars ($5,000) or more beyond what the Licensee has previously paid, or (ii) the Licensee has underpaid royalties by more than five percent (5%) in any given calendar quarter, the Licensee will be responsible for reimbursing the outstanding amount with interest as outlined in paragraph 8, in addition to bearing all costs related to the audit."
"CIGI shall submit to MBI, for review or auditing, such other forms, reports, records, information, and data as MBI may reasonably request in order to verify the calculation of royalties payable pursuant to this Agreement.
 MBI or its designated agents shall have the right at all reasonable times to examine and copy, at MBI’s expense, the books, records, and tax returns of CIGI. MBI shall also have the right, at any time, to have an independent audit made of the books of CIGI.","CIGI need not submit to MBI, for review or auditing, such other forms, reports, records, information, and data as MBI may reasonably request in order to verify the calculation of royalties payable pursuant to this Agreement.
 MBI or its designated agents shall not have the right at all reasonable times to examine and copy, at MBI’s expense, the books, records, and tax returns of CIGI. MBI shall also not have the right, at any time, to have an independent audit made of the books of CIGI.","CIGI is required to provide MBI with any additional documents, reports, records, information, and data that MBI may reasonably request to verify the calculation of royalties owed under this Agreement. MBI, or persons it designates, is entitled to inspect and duplicate CIGI's books, records, and tax returns at any reasonable time, with the costs borne by MBI. Additionally, MBI retains the right to conduct an independent audit of CIGI's books at any time."
"Reseller acknowledges that a designated representative of NovaCharge approved by Reseller (approval not to be unreasonably withheld, conditioned or delayed) is authorized to examine, audit, reproduce and take copies of the records required to be maintained by Reseller under Section 16 hereof. Examinations and audits will be conducted during regular business hours and at reasonable intervals and no more than twice per calendar year.","Reseller acknowledges that a designated representative of NovaCharge approved by Reseller (approval not to be unreasonably withheld, conditioned or delayed) is not authorized to examine, audit, reproduce and take copies of the records required to be maintained by Reseller under Section 16 hereof. Examinations and audits will be conducted during regular business hours and at reasonable intervals and no less than twice per calendar year.","Reseller Affirmation of Audit Rights

The Reseller agrees that a representative, selected by NovaCharge and approved by the Reseller (with approval not being subject to unreasonable withholding, conditioning, or delay), possesses the authority to inspect, audit, duplicate, and retain copies of the records that the Reseller must keep as stipulated in Section 16 of this Agreement. Such inspections and audits shall take place during standard business hours, at reasonable intervals, and shall not exceed two occurrences in any calendar year."
"Inspection. The Licensee shal permit the Licensor to visit and inspect the properties of the Company, to examine its corporate and financial records and make copies thereof and to discuss its affairs, finances, and accounts with its officers, at such reasonable times and upon such reasonable notice as it may reasonably request","Inspection. The Licensee shal not permit the Licensor to visit and inspect the properties of the Company, to examine its corporate and financial records and make copies thereof and to discuss its affairs, finances, and accounts with its officers, at such reasonable times and upon such reasonable notice as it may reasonably request","Review Rights  
The Licensor is entitled to access and inspect the Company's premises. This access includes the ability to review and copy the Company's corporate and financial documents, and to engage in discussions regarding its operations, financial matters, and accounts with its officials. These activities shall occur at reasonable times and with reasonable advance notice, as requested by the Licensor."
