Original,"Different Meaning, Minimal Changes","Same Meaning, Worded Differently"
"MOST FAVORED NATIONS In the event Magellan offers a Terminal Throughput Rate and/or proprietary gasoline additive fee to a third party that is lower than that paid by Motiva, Motiva's rates shall be lowered to an amount equal to the rate offered to said third party.","MOST FAVORED NATIONS In the event Magellan offers a Terminal Throughput Rate and/or proprietary gasoline additive fee to a third party that is higher than that paid by Motiva, Motiva's rates shall be raised to an amount equal to the rate offered to said third party.","MFN. If Magellan grants a third party a Terminal Throughput Rate or proprietary gasoline additive fee that is lower than the rate charged to Motiva, then Motiva shall be entitled to a corresponding reduction, ensuring its rates match those offered to the third party."
"Executive will be entitled to participate in all employee benefit plans and programs and executive perquisites and incentives generally available to and on terms no less favorable than similarly situated senior executive employees of the Company, to the extent that Executive meets the eligibility requirements for each individual plan or program. (iii) a reduction in Executive’s incentive or equity compensation opportunity such that it is materially less favorable than those provided generally to other senior executive officers;","Executive will be entitled to participate in all employee benefit plans and programs and executive perquisites and incentives generally available to and on terms no more favorable than similarly situated senior executive employees of the Company, to the extent that Executive meets the eligibility requirements for each individual plan or program. (iii) a reduction in Executive’s incentive or equity compensation opportunity such that it is materially more favorable than those provided generally to other senior executive officers;","The Executive shall have the right to take part in all employee benefit plans, programs, executive incentives, and perquisites that are generally offered to senior executives in comparable positions within the Company. The terms of participation shall be no less favorable than those extended to similarly situated senior executives, provided that the Executive satisfies the specific eligibility criteria of each respective plan or program. Furthermore, any material reduction in the Executive’s incentive or equity compensation opportunity, such that it is less favorable than what is generally provided to other senior executive officers, shall not be permitted."
"During the Term of this Agreement and provided that Customer is not in breach of this Agreement and Customer complies with Subsections 1.4 (a) and (b) above, the prices, terms and conditions, viewed collectively, charged to Customer for the Products and Software provided under Attachments A, B and D of this Agreement shall be no less favorable than the prices, terms and conditions, viewed collectively, for substantially similar Products and Software at substantially similar volume commitments, with like configurations under comparable circumstances, made available to any mobility/wireless service providers in the United States by Vendor pursuant to an executed contract. If the prices, terms and conditions under this Agreement are at any time less favorable than the prices, terms and conditions made available to a third party as set forth above, Vendor shall prospectively offer amended prices, terms and conditions under this Agreement as necessary to eliminate such discrepancy.","During the Term of this Agreement and provided that Customer is not in breach of this Agreement and Customer complies with Subsections 1.4 (a) and (b) above, the prices, terms and conditions, viewed collectively, charged to Customer for the Products and Software provided under Attachments A, B and D of this Agreement shall be no more favorable than the prices, terms and conditions, viewed collectively, for substantially similar Products and Software at substantially similar volume commitments, with like configurations under comparable circumstances, made available to any mobility/wireless service providers in the United States by Vendor pursuant to an executed contract. If the prices, terms and conditions under this Agreement are at any time more favorable than the prices, terms and conditions made available to a third party as set forth above, Vendor shall prospectively offer amended prices, terms and conditions under this Agreement as necessary to eliminate such discrepancy.","Throughout the duration of this Agreement, as long as the Customer does not violate any terms of this Agreement and adheres to Subsections 1.4 (a) and (b) mentioned earlier, the combined prices, terms, and conditions charged to the Customer for the Products and Software outlined in Attachments A, B, and D of this Agreement will be at least as favorable as those offered for substantially similar Products and Software at similar volume levels, with equivalent configurations, to any mobility or wireless service providers in the United States under comparable agreements with the Vendor. Should the pricing, terms, and conditions within this Agreement be, at any point, less advantageous than those offered to any third party under comparable circumstances, the Vendor will adjust these provisions to ensure this discrepancy is corrected moving forward."
"To the extent that the Company obtains coverage under a director and officer indemnification policy, Executive will be entitled to such coverage on a basis that is no less favorable than the coverage provided to any other officer or director of the Company.","To the extent that the Company obtains coverage under a director and officer indemnification policy, Executive will not be entitled to such coverage on a basis that is no less favorable than the coverage provided to any other officer or director of the Company.","In the event that the Company secures a policy for director and officer indemnification, the Executive shall be granted access to this coverage on terms that are equally favorable as those extended to any other officer or director within the Company."
"MFN PRICING - - IMGIS agrees that pricing for AdForce services for 2CAN Media will be at most favored nation (""MFN"") pricing as it relates to any organizations who are exclusively in the business of ad sales and delivering similar volumes on similar terms to 2CAN Media. Pricing to America On-Lie and its affiliates are specifically excluded. Pricing for advanced features such as demographic and psychographic targeting will be negotiated as those features become available. Such pricing shall be offered to 2CAN Media on a MFN basis when compared to other organizations who's primary business is on-line media sales under similar terms and volumes.","MFN PRICING - - IMGIS agrees that pricing for AdForce services for 2CAN Media will not be at most favored nation (""MFN"") pricing as it relates to any organizations who are exclusively in the business of ad sales and delivering similar volumes on similar terms to 2CAN Media. Pricing to America On-Lie and its affiliates are specifically excluded. Pricing for advanced features such as demographic and psychographic targeting will be negotiated as those features become available. Such pricing shall not be offered to 2CAN Media on a MFN basis when compared to other organizations who's primary business is on-line media sales under similar terms and volumes.","**Most Favored Nation Pricing**

IMGIS commits to providing 2CAN Media with the most favored nation (""MFN"") pricing for AdForce services, applicable to entities solely engaged in ad sales that deliver similar volumes under comparable terms to those of 2CAN Media. This agreement explicitly excludes pricing arrangements with America On-Lie and its associated entities. The rates for advanced functionalities, including demographic and psychographic targeting, will be determined through negotiation once these features become available. Such pricing for advanced features will also be extended to 2CAN Media on a MFN basis in comparison to other organizations primarily focused on online media sales, adhering to similar terms and conditions."
"In the event that Publisher reduces the Standard Wholesale Price of a Title or it offers Titles to other customers outside of the Territory at a price lower than the Standard Wholesale Price, Publisher shall immediately offer that reduced price to Atari. In addition, Publisher shall promptly credit Atari's account for the difference between the Standard Wholesale Price charged to Atari and the reduced price for each Software Package either held in inventory by Atari or shipped by Atari to the Channels of Distribution and not yet sold-through on the date the reduced price is first offered (""Price Protection"").","In the event that Publisher reduces the Standard Wholesale Price of a Title or it offers Titles to other customers outside of the Territory at a price higher than the Standard Wholesale Price, Publisher shall immediately offer that price to Atari. In addition, Publisher shall promptly credit Atari's account for the difference between the Standard Wholesale Price charged to Atari and the new price for each Software Package either held in inventory by Atari or shipped by Atari to the Channels of Distribution and not yet sold-through on the date the reduced price is first offered (""Price Protection"").","Price Adjustment and Credit Obligation

Should the Publisher decide to lower the Standard Wholesale Price of any Title, or if Titles are offered to external customers beyond the Territory at a rate less than the Standard Wholesale Price, the Publisher is required to concurrently extend this reduced pricing to Atari. Furthermore, the Publisher must swiftly apply a credit to Atari’s account, reflecting the discrepancy between the Standard Wholesale Price initially charged to Atari and the newly reduced price. This credit applies to each Software Package either in Atari’s inventory or dispatched by Atari to the Channels of Distribution, which remains unsold by the date the price reduction is first made available (""Price Protection"")."
"Most Favored Nation. Notwithstanding any other provision of this Agreement, the Optionee has, in its sole and complete discretion, the right to elect the same price terms offered to any other purchaser of Conserved Water or Storage made available by CADIZ from the date of execution of this Agreement, subject to Program capacity","Most Favored Nation. Notwithstanding any other provision of this Agreement, the Optionee has, in its sole and complete discretion, no right to elect the same price terms offered to any other purchaser of Conserved Water or Storage made available by CADIZ from the date of execution of this Agreement, subject to Program capacity","Preferred Terms. Regardless of any other terms in this Agreement, the Optionee retains full discretion to choose the identical pricing conditions extended to any other buyer of Conserved Water or Storage provided by CADIZ, effective from the Agreement's execution date, contingent upon available Program capacity."
VUG represents and warrants to Interplay that VUG shall throughout the Term and any Sell-Off Period treat the Partner Products on at least an equal basis with such competing products,VUG represents and warrants to Interplay that VUG shall throughout the Term and any Sell-Off Period treat the Partner Products on an unequal basis with such competing products,"VUG guarantees and affirms to Interplay that for the duration of the Term and any Sell-Off Period, it will ensure that the Partner Products receive treatment that is no less favorable than that given to any similar competing products."
"(e) The prices for the Software to Distributor are not, and will not be, less favorable than those charged by Sonasoft during a similar time period to its other Distributors which acquire, sell and distribute similar quantities of the same Software.","(e) The prices for the Software to Distributor are not, and will not be, more favorable than those charged by Sonasoft during a similar time period to its other Distributors which acquire, sell and distribute similar quantities of the same Software.","(e) Sonasoft commits that the pricing offered to the Distributor for the Software shall remain equitable and not less advantageous than the pricing provided to other Distributors who obtain, market, and distribute comparable volumes of the same Software within a similar timeframe."
"If Licensor, any of its Affiliates, or VF Outlet, Inc. (whether it is an Affiliate of Licensor or not) wishes to purchase available Licensed Products, Licensee agrees to sell such Licensed Products to Licensor or any of its Affiliates at a price equal to the then lowest wholesale price at which Licensee sells such Licensed Products.","If Licensor, any of its Affiliates, or VF Outlet, Inc. (whether it is an Affiliate of Licensor or not) wishes to purchase available Licensed Products, Licensee agrees to sell such Licensed Products to Licensor or any of its Affiliates at a price lower to the then lowest wholesale price at which Licensee sells such Licensed Products.","Should the Licensor, its Affiliates, or VF Outlet, Inc. (regardless of its status as an Affiliate of the Licensor) desire to acquire any available Licensed Products, the Licensee is obligated to sell these products to the Licensor or any of its Affiliates at a price matching the current lowest wholesale rate offered by the Licensee for those Licensed Products."
