model,sim_type,pearson
models/fasttext/crawl-300d-2M-subword-norm,cos,0.5269212511631687
models/fasttext/crawl-300d-2M-subword-norm,L2,-0.5881510628245898
models/nvidia/nv-embed-v2-norm,cos,0.5310134471351329
models/nvidia/nv-embed-v2-norm,L2,-0.563130671636041
models/openai/text-embedding-3-large,cos,0.512061930712313
models/openai/text-embedding-3-large,L2,-0.4933501887208208
models/gemini/text-embedding-004,cos,0.4758044605142269
models/gemini/text-embedding-004,L2,-0.406211483349779
models/legal-bert/legal-bert-base-uncased-meanpool-norm,cos,0.7693849902268494
models/legal-bert/legal-bert-base-uncased-meanpool-norm,L2,-0.7774566757091994
