orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.371,0.996,1.122,0.088
0.354,0.989,1.136,0.151
0.406,1.0,1.09,0.028
0.945,0.997,0.33,0.081
0.35,0.392,1.14,1.102
0.881,0.989,0.489,0.148
0.974,0.999,0.228,0.039
0.371,0.989,1.122,0.148
0.865,0.997,0.519,0.079
0.391,0.99,1.103,0.144
0.344,0.997,1.145,0.075
0.743,0.967,0.718,0.255
0.933,0.992,0.367,0.126
0.362,0.998,1.129,0.06
0.345,1.0,1.145,0.0
0.325,0.998,1.162,0.066
0.951,0.998,0.313,0.061
0.945,1.0,0.332,0.0
0.992,1.0,0.127,0.019
0.393,1.0,1.102,0.03
