orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.957,0.998,0.293,0.056
0.86,0.996,0.529,0.093
0.975,0.999,0.224,0.039
0.855,0.976,0.539,0.217
0.867,1.0,0.517,0.0
0.913,0.989,0.418,0.15
0.918,0.999,0.404,0.048
0.904,0.998,0.439,0.068
0.865,0.999,0.52,0.039
0.45,1.0,1.048,0.026
0.922,0.999,0.395,0.033
0.197,0.996,1.267,0.088
0.85,0.99,0.548,0.139
0.948,0.999,0.323,0.044
0.964,0.999,0.267,0.041
0.937,0.999,0.354,0.047
0.399,0.999,1.096,0.037
0.352,0.68,1.139,0.801
0.928,0.998,0.38,0.058
0.875,0.998,0.5,0.071
