orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.211,0.995,1.256,0.105
0.385,0.996,1.109,0.087
0.899,0.991,0.449,0.134
0.97,0.995,0.247,0.104
0.972,0.997,0.237,0.078
0.946,0.999,0.327,0.054
0.943,0.999,0.337,0.052
0.971,0.998,0.242,0.069
0.763,0.998,0.689,0.057
0.929,0.999,0.377,0.053
0.376,0.996,1.117,0.09
0.958,0.992,0.29,0.129
0.966,0.994,0.26,0.113
0.836,0.998,0.572,0.059
0.87,0.997,0.509,0.072
0.38,0.997,1.113,0.075
0.909,0.999,0.427,0.044
0.87,0.999,0.511,0.038
0.947,0.996,0.325,0.088
0.46,0.999,1.039,0.041
