orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.261,1.0,1.216,0.03
0.95,0.991,0.316,0.131
0.502,0.999,0.998,0.034
0.971,0.998,0.241,0.065
0.581,0.909,0.916,0.426
0.876,0.927,0.498,0.383
0.923,0.992,0.393,0.126
0.949,0.991,0.32,0.136
0.408,0.999,1.089,0.042
0.918,0.996,0.406,0.092
0.984,1.0,0.181,0.027
0.674,0.934,0.808,0.362
0.967,0.999,0.257,0.038
0.981,0.999,0.196,0.033
0.181,0.791,1.28,0.647
0.282,1.0,1.198,0.027
0.965,0.996,0.264,0.091
0.23,0.999,1.241,0.035
0.376,0.894,1.117,0.461
0.456,0.998,1.043,0.065
