orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.949,0.997,0.319,0.073
0.884,0.989,0.482,0.149
0.884,0.998,0.481,0.07
0.663,1.0,0.821,0.012
0.903,1.0,0.44,0.026
0.958,0.999,0.29,0.042
0.939,0.999,0.35,0.055
0.971,0.996,0.239,0.086
0.343,1.0,1.147,0.019
0.891,0.999,0.467,0.05
0.213,0.994,1.254,0.109
0.791,1.0,0.646,0.022
0.986,0.997,0.168,0.071
0.911,1.0,0.421,0.031
0.972,0.997,0.235,0.072
0.951,0.998,0.312,0.059
0.85,1.0,0.548,0.019
0.943,0.999,0.336,0.043
0.22,0.997,1.249,0.08
0.863,0.994,0.524,0.109
