orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.363,0.999,1.129,0.055
0.012,0.999,1.406,0.041
0.8,1.0,0.632,0.024
0.383,0.999,1.111,0.037
0.949,0.998,0.319,0.061
0.185,0.998,1.277,0.069
0.803,1.0,0.627,0.02
0.978,1.0,0.209,0.029
0.918,0.999,0.405,0.047
0.134,0.998,1.316,0.062
0.061,0.995,1.37,0.097
0.909,0.999,0.428,0.046
0.239,0.999,1.234,0.048
0.97,0.999,0.246,0.048
0.975,0.992,0.226,0.122
0.95,0.999,0.318,0.039
0.823,1.0,0.596,0.027
0.329,0.997,1.159,0.078
0.623,0.995,0.869,0.098
0.922,1.0,0.394,0.02
