orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.464,0.971,1.035,0.241
0.406,0.944,1.09,0.336
0.565,0.997,0.933,0.075
0.921,0.955,0.398,0.3
0.472,0.454,1.028,1.045
0.715,0.931,0.755,0.372
0.918,0.965,0.404,0.265
0.322,0.938,1.165,0.353
0.659,0.943,0.826,0.338
0.4,0.941,1.096,0.344
0.383,0.964,1.111,0.27
0.384,0.804,1.11,0.627
0.945,0.985,0.331,0.175
0.443,0.946,1.055,0.33
0.371,0.995,1.121,0.096
0.363,0.987,1.128,0.163
0.819,0.992,0.601,0.128
0.742,0.994,0.718,0.112
0.959,0.992,0.285,0.127
0.384,0.996,1.11,0.089
