orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.957,0.997,0.292,0.077
0.616,0.967,0.877,0.257
0.94,0.926,0.348,0.386
0.627,0.78,0.864,0.664
0.483,1.0,1.016,0.0
0.868,0.92,0.514,0.399
0.626,0.951,0.865,0.312
0.768,0.94,0.681,0.346
0.521,0.981,0.978,0.197
0.396,0.979,1.099,0.205
0.698,0.961,0.777,0.279
0.405,0.919,1.091,0.402
0.428,0.955,1.07,0.3
0.712,0.946,0.759,0.33
0.84,0.953,0.567,0.307
0.709,0.946,0.763,0.327
0.526,0.936,0.974,0.359
0.392,0.366,1.102,1.126
0.535,0.947,0.965,0.326
0.723,0.922,0.744,0.394
