orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.653,0.943,0.833,0.337
0.965,0.969,0.265,0.249
0.933,0.941,0.366,0.343
0.635,0.979,0.855,0.207
0.459,0.888,1.04,0.473
0.616,0.991,0.876,0.135
0.286,0.984,1.195,0.176
0.473,0.999,1.026,0.048
0.955,0.991,0.298,0.135
0.962,0.997,0.277,0.08
0.846,0.959,0.556,0.287
0.622,0.946,0.87,0.328
0.917,0.968,0.407,0.251
0.442,0.99,1.056,0.139
0.618,0.971,0.874,0.24
0.912,0.943,0.421,0.337
0.935,0.979,0.362,0.206
0.778,0.914,0.666,0.414
0.338,0.969,1.151,0.248
0.723,0.989,0.744,0.145
