orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.266,0.99,1.211,0.142
0.497,0.992,1.003,0.125
0.667,0.986,0.816,0.168
0.973,0.996,0.233,0.086
0.957,0.996,0.292,0.091
0.973,0.996,0.231,0.095
0.827,0.976,0.589,0.218
0.932,0.991,0.37,0.135
0.712,0.995,0.759,0.101
0.8,0.977,0.632,0.216
0.531,0.969,0.969,0.249
0.767,0.936,0.683,0.357
0.95,0.987,0.316,0.159
0.675,0.973,0.806,0.233
0.856,0.985,0.537,0.171
0.437,0.972,1.061,0.235
0.632,0.992,0.858,0.129
0.664,0.999,0.82,0.051
0.914,0.988,0.415,0.157
0.364,0.998,1.128,0.065
