orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.505,0.991,0.995,0.133
0.733,0.979,0.731,0.206
0.774,0.996,0.673,0.087
0.968,0.977,0.254,0.215
0.449,0.973,1.05,0.234
0.753,0.992,0.702,0.128
0.294,0.987,1.188,0.159
0.977,0.985,0.215,0.171
0.971,0.988,0.241,0.155
0.811,0.995,0.616,0.101
0.617,0.986,0.875,0.166
0.204,0.982,1.261,0.188
0.82,0.973,0.6,0.233
0.862,0.906,0.525,0.433
0.637,0.988,0.852,0.156
0.828,0.995,0.586,0.105
0.874,0.995,0.503,0.103
0.825,0.985,0.592,0.173
0.766,0.985,0.684,0.175
0.791,0.899,0.646,0.45
