orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.488,0.976,1.012,0.219
0.835,0.963,0.575,0.271
0.564,0.972,0.933,0.235
0.825,0.949,0.592,0.32
0.704,0.819,0.77,0.602
0.852,0.853,0.545,0.543
0.83,0.991,0.583,0.134
0.857,0.949,0.535,0.321
0.615,0.971,0.878,0.241
0.748,0.928,0.709,0.381
0.959,0.978,0.285,0.209
0.529,0.882,0.971,0.486
0.948,0.977,0.322,0.213
0.855,0.972,0.538,0.238
0.413,0.705,1.084,0.768
0.453,0.992,1.046,0.129
0.938,0.972,0.352,0.235
0.304,0.981,1.18,0.194
0.441,0.85,1.057,0.548
0.605,0.983,0.889,0.183
