orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.792,0.938,0.645,0.353
0.823,0.937,0.596,0.354
0.51,0.92,0.99,0.4
0.386,0.984,1.108,0.181
0.771,0.978,0.676,0.21
0.798,0.98,0.635,0.202
0.722,0.955,0.745,0.299
0.895,0.993,0.459,0.118
0.263,0.995,1.214,0.1
0.501,0.944,0.999,0.334
0.291,0.922,1.191,0.396
0.49,0.937,1.01,0.354
0.942,0.959,0.342,0.288
0.68,0.988,0.8,0.153
0.95,0.951,0.316,0.314
0.744,0.957,0.715,0.294
0.517,0.99,0.983,0.144
0.81,0.953,0.616,0.307
0.234,0.899,1.238,0.449
0.569,0.916,0.928,0.409
