orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.575,0.976,0.922,0.218
0.311,0.948,1.174,0.323
0.418,0.997,1.079,0.077
0.412,0.966,1.085,0.26
0.938,0.979,0.351,0.205
0.292,0.963,1.19,0.273
0.498,0.995,1.002,0.1
0.987,0.989,0.163,0.147
0.817,0.975,0.606,0.222
0.263,0.975,1.214,0.225
0.272,0.972,1.207,0.238
0.67,0.936,0.813,0.358
0.46,0.974,1.039,0.228
0.939,0.98,0.349,0.2
0.945,0.989,0.333,0.145
0.932,0.997,0.37,0.082
0.542,0.998,0.957,0.068
0.904,0.974,0.439,0.227
0.62,0.935,0.871,0.361
0.677,0.987,0.804,0.161
