orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.774,0.986,0.672,0.165
0.25,0.99,1.225,0.141
0.454,0.905,1.045,0.437
0.479,0.969,1.021,0.25
0.312,0.998,1.173,0.07
0.887,0.974,0.475,0.226
0.651,0.953,0.835,0.305
0.745,0.995,0.713,0.097
0.955,0.966,0.301,0.262
0.956,0.99,0.296,0.138
0.582,0.98,0.914,0.198
0.493,0.988,1.007,0.156
0.515,0.963,0.985,0.274
0.501,0.986,0.999,0.166
0.528,0.953,0.972,0.308
0.387,0.958,1.108,0.291
0.294,0.995,1.189,0.105
0.573,0.95,0.924,0.316
0.808,0.984,0.62,0.179
0.604,0.972,0.889,0.237
