orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.613,0.994,0.879,0.111
0.667,0.965,0.816,0.263
0.66,0.998,0.824,0.068
0.938,0.989,0.353,0.146
0.578,0.408,0.918,1.088
0.859,0.984,0.531,0.181
0.934,0.993,0.364,0.118
0.676,0.98,0.805,0.2
0.836,0.986,0.573,0.164
0.674,0.983,0.808,0.184
0.59,0.976,0.906,0.217
0.76,0.946,0.693,0.33
0.942,0.993,0.341,0.118
0.662,0.988,0.823,0.154
0.693,0.997,0.783,0.076
0.591,0.991,0.905,0.138
0.823,0.996,0.595,0.093
0.896,0.994,0.456,0.108
0.957,0.998,0.293,0.066
0.689,0.999,0.788,0.051
