orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.964,0.988,0.269,0.158
0.867,0.993,0.515,0.119
0.962,0.99,0.275,0.138
0.886,0.982,0.477,0.188
0.8,1.0,0.632,0.0
0.932,0.977,0.369,0.215
0.874,0.996,0.503,0.094
0.886,0.986,0.477,0.167
0.868,0.994,0.513,0.11
0.721,0.993,0.748,0.116
0.863,0.996,0.523,0.089
0.793,0.977,0.644,0.216
0.834,0.98,0.576,0.198
0.928,0.993,0.38,0.117
0.906,0.991,0.435,0.137
0.943,0.992,0.337,0.123
0.765,0.996,0.685,0.089
0.746,0.747,0.713,0.711
0.851,0.991,0.546,0.133
0.909,0.991,0.427,0.134
