orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.869,0.989,0.513,0.146
0.964,0.98,0.267,0.202
0.963,0.986,0.272,0.165
0.925,0.992,0.387,0.128
0.855,0.963,0.538,0.273
0.808,0.996,0.62,0.091
0.692,0.994,0.784,0.106
0.805,0.999,0.625,0.037
0.977,0.999,0.215,0.041
0.985,1.0,0.173,0.031
0.921,0.995,0.397,0.096
0.866,0.987,0.517,0.159
0.954,0.996,0.303,0.085
0.749,0.997,0.708,0.078
0.849,0.991,0.55,0.132
0.961,0.99,0.281,0.141
0.957,0.986,0.293,0.167
0.873,0.984,0.505,0.18
0.713,0.993,0.758,0.12
0.908,0.994,0.429,0.108
