orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.664,0.997,0.82,0.071
0.775,0.999,0.67,0.049
0.905,0.995,0.437,0.103
0.964,0.992,0.267,0.124
0.95,0.998,0.317,0.065
0.966,0.995,0.26,0.096
0.897,0.998,0.453,0.067
0.963,0.997,0.272,0.075
0.857,0.999,0.534,0.054
0.946,0.996,0.329,0.087
0.785,0.984,0.656,0.18
0.921,0.988,0.396,0.152
0.974,0.994,0.229,0.114
0.84,0.989,0.566,0.147
0.901,0.997,0.444,0.079
0.786,0.997,0.654,0.077
0.907,0.997,0.431,0.08
0.873,0.999,0.504,0.036
0.942,0.995,0.341,0.098
0.85,1.0,0.548,0.028
