orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.756,0.994,0.698,0.114
0.943,0.982,0.338,0.187
0.744,0.997,0.716,0.081
0.95,0.996,0.316,0.091
0.81,0.94,0.616,0.345
0.873,0.898,0.504,0.452
0.913,0.988,0.417,0.153
0.95,0.982,0.316,0.188
0.814,0.99,0.611,0.139
0.929,0.99,0.377,0.139
0.975,0.997,0.223,0.076
0.827,0.97,0.588,0.243
0.96,0.996,0.284,0.087
0.957,0.992,0.295,0.124
0.769,0.857,0.679,0.534
0.762,0.997,0.69,0.073
0.943,0.993,0.336,0.122
0.715,0.994,0.756,0.108
0.777,0.895,0.668,0.459
0.828,0.993,0.587,0.117
