orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.88,0.994,0.49,0.11
0.752,0.994,0.704,0.108
0.784,0.997,0.657,0.083
0.278,0.993,1.202,0.118
0.641,0.996,0.848,0.095
0.885,0.995,0.48,0.103
0.3,0.979,1.184,0.203
0.934,0.999,0.364,0.048
0.957,0.998,0.293,0.064
0.952,0.999,0.309,0.054
0.803,0.992,0.627,0.125
0.785,0.997,0.655,0.079
0.769,0.994,0.679,0.108
0.679,0.995,0.801,0.099
0.71,0.99,0.762,0.141
0.849,0.993,0.549,0.117
0.628,0.997,0.863,0.077
0.813,0.982,0.612,0.187
0.899,0.997,0.45,0.08
0.84,0.992,0.566,0.129
