orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.905,0.993,0.437,0.117
0.948,0.992,0.324,0.128
0.964,0.992,0.267,0.125
0.961,0.987,0.278,0.161
0.905,0.995,0.436,0.095
0.916,0.993,0.409,0.116
0.96,0.988,0.282,0.153
0.887,0.991,0.474,0.136
0.727,0.996,0.738,0.084
0.744,0.98,0.716,0.198
0.911,0.998,0.422,0.068
0.942,0.975,0.34,0.224
0.958,0.999,0.29,0.054
0.931,0.996,0.371,0.088
0.865,0.993,0.519,0.118
0.904,0.996,0.439,0.09
0.857,0.991,0.535,0.136
0.925,0.995,0.388,0.095
0.968,0.994,0.253,0.109
0.947,0.998,0.327,0.069
