orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.217,0.913,1.251,0.417
0.163,0.852,1.294,0.544
0.299,0.982,1.184,0.188
0.744,0.861,0.716,0.528
0.277,0.296,1.202,1.186
0.528,0.82,0.971,0.6
0.855,0.948,0.539,0.324
0.161,0.797,1.296,0.637
0.314,0.894,1.171,0.461
0.261,0.83,1.215,0.583
0.202,0.957,1.263,0.292
0.149,0.666,1.305,0.817
0.782,0.924,0.661,0.39
0.198,0.919,1.266,0.402
0.14,0.994,1.311,0.11
0.099,0.948,1.342,0.323
0.561,0.976,0.937,0.22
0.601,0.989,0.894,0.146
0.868,0.981,0.513,0.193
0.075,0.985,1.36,0.173
