orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.812,0.988,0.614,0.152
0.318,0.975,1.168,0.223
0.871,0.98,0.509,0.2
0.314,0.79,1.171,0.649
0.217,1.0,1.251,0.0
0.639,0.866,0.849,0.518
0.3,0.994,1.183,0.112
0.519,0.895,0.981,0.459
0.233,0.975,1.239,0.224
0.109,0.965,1.335,0.265
0.471,0.99,1.029,0.143
0.205,0.896,1.261,0.456
0.138,0.911,1.313,0.421
0.542,0.977,0.958,0.214
0.65,0.963,0.836,0.271
0.505,0.951,0.995,0.314
0.221,0.978,1.248,0.21
0.116,0.282,1.33,1.198
0.152,0.975,1.302,0.223
0.454,0.972,1.045,0.235
