orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.077,0.967,1.358,0.255
0.244,0.966,1.229,0.259
0.501,0.955,0.999,0.301
0.889,0.992,0.472,0.127
0.875,0.993,0.499,0.116
0.912,0.979,0.419,0.203
0.573,0.971,0.924,0.24
0.865,0.972,0.52,0.235
0.394,0.976,1.101,0.22
0.682,0.965,0.797,0.263
0.311,0.929,1.174,0.377
0.605,0.903,0.888,0.441
0.808,0.924,0.62,0.39
0.485,0.925,1.015,0.387
0.731,0.955,0.734,0.3
0.252,0.974,1.223,0.229
0.502,0.98,0.998,0.202
0.429,0.99,1.069,0.138
0.783,0.948,0.659,0.322
0.258,0.99,1.219,0.14
