orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.289,0.986,1.193,0.17
0.441,0.967,1.057,0.258
0.535,0.979,0.965,0.203
0.827,0.982,0.588,0.189
0.136,0.935,1.315,0.36
0.492,0.987,1.008,0.163
0.134,0.99,1.316,0.139
0.871,0.975,0.509,0.226
0.796,0.988,0.638,0.155
0.624,0.994,0.867,0.113
0.408,0.984,1.088,0.179
0.05,0.963,1.378,0.274
0.617,0.938,0.876,0.353
0.677,0.933,0.804,0.367
0.339,0.984,1.15,0.181
0.679,0.988,0.801,0.154
0.675,0.971,0.806,0.242
0.576,0.985,0.921,0.174
0.566,0.982,0.932,0.187
0.661,0.879,0.823,0.492
