orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.369,0.972,1.123,0.236
0.688,0.916,0.789,0.41
0.383,0.981,1.111,0.195
0.611,0.977,0.882,0.217
0.532,0.853,0.967,0.543
0.679,0.683,0.801,0.796
0.518,0.95,0.982,0.318
0.602,0.853,0.892,0.542
0.362,0.986,1.129,0.17
0.651,0.912,0.835,0.419
0.861,0.97,0.527,0.244
0.293,0.783,1.189,0.658
0.879,0.995,0.492,0.1
0.763,0.979,0.688,0.204
0.131,0.773,1.318,0.674
0.287,0.988,1.194,0.153
0.765,0.921,0.685,0.398
0.119,0.982,1.327,0.19
0.28,0.841,1.2,0.564
0.294,0.974,1.188,0.227
