orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.384,0.946,1.11,0.328
0.081,0.947,1.356,0.326
0.155,0.991,1.3,0.135
0.142,0.97,1.31,0.244
0.843,0.953,0.56,0.307
0.107,0.922,1.336,0.396
0.274,0.997,1.205,0.074
0.928,0.979,0.379,0.206
0.669,0.983,0.814,0.186
0.059,0.976,1.372,0.221
0.085,0.937,1.352,0.355
0.288,0.951,1.193,0.312
0.225,0.949,1.245,0.321
0.856,0.955,0.537,0.302
0.818,0.957,0.603,0.294
0.785,0.996,0.656,0.089
0.336,0.965,1.153,0.265
0.797,0.902,0.638,0.442
0.393,0.879,1.102,0.493
0.303,0.985,1.181,0.172
