orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.629,0.985,0.862,0.174
0.112,0.966,1.333,0.26
0.195,0.863,1.269,0.524
0.334,0.955,1.154,0.301
0.133,0.991,1.317,0.135
0.738,0.955,0.724,0.299
0.303,0.938,1.181,0.351
0.653,0.988,0.834,0.155
0.924,0.959,0.389,0.287
0.93,0.991,0.374,0.136
0.347,0.978,1.143,0.208
0.242,0.991,1.231,0.135
0.37,0.976,1.123,0.218
0.342,0.968,1.147,0.254
0.342,0.933,1.147,0.365
0.132,0.94,1.318,0.346
0.123,0.998,1.325,0.062
0.386,0.877,1.108,0.495
0.618,0.961,0.874,0.279
0.352,0.96,1.138,0.284
