orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.347,0.897,1.143,0.453
0.211,0.925,1.256,0.388
0.418,0.969,1.079,0.249
0.792,0.862,0.645,0.526
0.267,0.299,1.211,1.184
0.563,0.896,0.935,0.457
0.845,0.942,0.557,0.339
0.21,0.825,1.257,0.592
0.444,0.906,1.055,0.434
0.303,0.859,1.18,0.532
0.272,0.944,1.207,0.334
0.151,0.649,1.303,0.838
0.855,0.95,0.538,0.317
0.25,0.937,1.225,0.355
0.234,0.986,1.238,0.17
0.187,0.939,1.275,0.348
0.652,0.979,0.834,0.203
0.672,0.977,0.811,0.217
0.923,0.949,0.392,0.321
0.205,0.972,1.261,0.236
