orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.906,0.989,0.435,0.151
0.451,0.941,1.048,0.344
0.893,0.88,0.462,0.489
0.53,0.787,0.969,0.653
0.371,1.0,1.121,0.002
0.796,0.825,0.639,0.592
0.482,0.941,1.018,0.344
0.664,0.85,0.82,0.548
0.392,0.978,1.103,0.208
0.267,0.913,1.211,0.416
0.613,0.981,0.88,0.193
0.253,0.834,1.222,0.576
0.235,0.908,1.237,0.429
0.584,0.929,0.912,0.376
0.713,0.863,0.758,0.522
0.577,0.941,0.92,0.344
0.312,0.933,1.173,0.365
0.289,0.291,1.193,1.191
0.3,0.909,1.183,0.427
0.584,0.887,0.912,0.475
