orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.533,0.903,0.966,0.439
0.873,0.915,0.504,0.412
0.875,0.906,0.499,0.433
0.509,0.977,0.991,0.214
0.323,0.767,1.163,0.683
0.408,0.968,1.088,0.252
0.295,0.975,1.188,0.224
0.369,0.995,1.123,0.098
0.907,0.986,0.432,0.169
0.955,0.998,0.299,0.068
0.755,0.957,0.699,0.294
0.424,0.866,1.073,0.518
0.844,0.977,0.558,0.214
0.267,0.991,1.211,0.135
0.496,0.975,1.004,0.225
0.808,0.95,0.619,0.317
0.874,0.945,0.502,0.331
0.637,0.92,0.852,0.399
0.213,0.924,1.255,0.39
0.578,0.988,0.919,0.158
