orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.088,0.983,1.351,0.182
0.341,0.987,1.148,0.159
0.559,0.966,0.939,0.26
0.868,0.994,0.514,0.112
0.88,0.983,0.489,0.185
0.947,0.993,0.327,0.117
0.676,0.969,0.805,0.247
0.919,0.977,0.403,0.213
0.643,0.995,0.845,0.104
0.701,0.982,0.773,0.189
0.384,0.91,1.11,0.425
0.649,0.966,0.837,0.262
0.902,0.972,0.442,0.236
0.513,0.945,0.987,0.331
0.805,0.972,0.625,0.236
0.387,0.985,1.107,0.174
0.498,0.982,1.002,0.19
0.476,0.996,1.023,0.087
0.868,0.975,0.513,0.223
0.303,0.994,1.18,0.11
