orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.525,0.981,0.975,0.196
0.705,0.881,0.769,0.488
0.527,0.977,0.973,0.215
0.711,0.97,0.76,0.245
0.671,0.838,0.812,0.569
0.682,0.703,0.797,0.771
0.649,0.936,0.837,0.357
0.779,0.854,0.664,0.54
0.519,0.99,0.98,0.143
0.708,0.9,0.765,0.447
0.921,0.988,0.398,0.157
0.395,0.817,1.1,0.605
0.918,0.989,0.404,0.147
0.826,0.984,0.589,0.18
0.274,0.72,1.205,0.748
0.433,0.989,1.065,0.148
0.896,0.928,0.456,0.379
0.166,0.987,1.291,0.16
0.373,0.76,1.12,0.693
0.51,0.97,0.99,0.244
