orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.673,0.9,0.809,0.446
0.668,0.822,0.815,0.597
0.286,0.857,1.195,0.535
0.241,0.938,1.232,0.353
0.672,0.973,0.81,0.234
0.693,0.96,0.784,0.282
0.554,0.926,0.945,0.384
0.71,0.981,0.761,0.197
0.112,0.98,1.333,0.202
0.365,0.945,1.127,0.331
0.127,0.88,1.321,0.489
0.297,0.918,1.186,0.405
0.859,0.935,0.531,0.362
0.601,0.972,0.894,0.235
0.83,0.918,0.583,0.405
0.597,0.96,0.898,0.283
0.41,0.974,1.087,0.228
0.716,0.928,0.753,0.38
0.145,0.848,1.308,0.551
0.363,0.948,1.128,0.323
