orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.429,0.937,1.069,0.354
0.131,0.93,1.318,0.373
0.239,0.982,1.234,0.192
0.219,0.946,1.249,0.329
0.878,0.914,0.493,0.414
0.112,0.927,1.333,0.381
0.351,0.991,1.139,0.132
0.95,0.975,0.315,0.224
0.73,0.961,0.735,0.28
0.095,0.97,1.345,0.245
0.083,0.898,1.355,0.451
0.332,0.914,1.156,0.415
0.252,0.956,1.223,0.298
0.838,0.949,0.57,0.32
0.849,0.957,0.55,0.293
0.829,0.997,0.585,0.071
0.398,0.964,1.097,0.268
0.812,0.886,0.614,0.478
0.458,0.858,1.041,0.533
0.422,0.968,1.075,0.251
