orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.663,0.95,0.821,0.318
0.201,0.969,1.265,0.249
0.25,0.882,1.225,0.486
0.446,0.889,1.052,0.472
0.125,0.99,1.323,0.142
0.775,0.956,0.67,0.296
0.495,0.926,1.005,0.384
0.757,0.99,0.697,0.142
0.91,0.971,0.423,0.242
0.905,0.986,0.435,0.165
0.483,0.9,1.017,0.446
0.422,0.949,1.075,0.321
0.494,0.924,1.006,0.39
0.423,0.954,1.074,0.304
0.459,0.925,1.04,0.388
0.276,0.888,1.203,0.474
0.138,0.988,1.313,0.156
0.467,0.935,1.032,0.361
0.631,0.953,0.859,0.307
0.457,0.9,1.042,0.447
