orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.942,0.916,0.341,0.409
0.554,0.998,0.945,0.064
0.973,1.0,0.234,0.028
0.945,0.997,0.33,0.081
0.938,0.872,0.352,0.505
0.881,0.908,0.489,0.428
0.974,0.999,0.228,0.039
0.941,0.919,0.342,0.403
0.916,0.91,0.411,0.425
0.95,0.407,0.317,1.089
0.927,0.446,0.381,1.052
0.912,0.834,0.42,0.576
0.933,0.992,0.367,0.126
0.504,0.354,0.996,1.136
0.963,0.394,0.272,1.101
0.325,0.944,1.162,0.333
0.951,0.998,0.313,0.061
0.963,1.0,0.271,0.0
0.992,1.0,0.127,0.019
0.398,1.0,1.098,0.0
