orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.957,0.998,0.293,0.056
0.898,0.997,0.451,0.079
0.975,0.999,0.224,0.039
0.968,0.976,0.253,0.217
0.956,0.939,0.298,0.35
0.913,0.989,0.418,0.15
0.926,0.939,0.385,0.35
0.971,0.935,0.24,0.36
0.865,0.862,0.52,0.525
0.941,0.415,0.342,1.081
0.922,0.999,0.395,0.033
0.197,0.217,1.267,1.251
0.89,0.897,0.47,0.454
0.95,0.999,0.315,0.044
0.979,0.999,0.203,0.041
0.97,0.943,0.245,0.336
0.969,0.389,0.25,1.105
0.685,0.936,0.794,0.358
0.93,0.95,0.375,0.317
0.973,0.891,0.232,0.468
