orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.939,0.897,0.349,0.454
0.974,0.983,0.226,0.182
0.967,0.983,0.255,0.186
0.923,0.994,0.392,0.111
0.965,0.879,0.266,0.491
0.903,0.999,0.441,0.052
0.418,0.377,1.079,1.116
0.933,1.0,0.365,0.027
0.979,0.999,0.203,0.039
0.97,0.999,0.244,0.047
0.959,0.997,0.288,0.075
0.917,0.997,0.407,0.072
0.96,0.996,0.284,0.084
0.68,1.0,0.8,0.0
0.86,0.786,0.53,0.654
0.951,0.992,0.312,0.124
0.901,0.994,0.446,0.112
0.897,0.913,0.454,0.417
0.432,0.38,1.066,1.114
0.926,1.0,0.386,0.0
