orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.296,0.997,1.187,0.078
0.972,0.913,0.238,0.416
0.953,0.999,0.308,0.054
0.97,0.995,0.247,0.104
0.972,0.997,0.237,0.078
0.946,0.999,0.327,0.054
0.965,0.999,0.266,0.052
0.971,0.998,0.242,0.069
0.763,0.938,0.689,0.352
0.929,0.999,0.377,0.053
0.969,0.996,0.248,0.09
0.958,0.992,0.29,0.129
0.966,0.994,0.26,0.113
0.982,0.998,0.188,0.059
0.87,0.997,0.509,0.072
0.59,0.999,0.906,0.042
0.985,0.919,0.175,0.402
0.87,0.999,0.511,0.038
0.947,0.996,0.325,0.088
0.46,0.467,1.039,1.032
