orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.306,0.999,1.179,0.042
0.944,0.999,0.336,0.033
0.991,0.967,0.136,0.257
0.982,1.0,0.192,0.03
0.888,1.0,0.474,0.0
0.979,0.954,0.203,0.302
0.988,1.0,0.157,0.0
0.947,0.994,0.326,0.106
0.983,1.0,0.182,0.022
0.969,0.999,0.248,0.034
0.981,1.0,0.197,0.026
0.207,0.222,1.259,1.248
0.971,0.997,0.24,0.071
0.94,0.999,0.346,0.033
0.946,1.0,0.328,0.03
0.907,0.999,0.431,0.042
0.947,0.998,0.325,0.068
0.953,1.0,0.305,0.032
0.981,0.999,0.194,0.039
0.974,1.0,0.228,0.031
