orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.974,0.222,0.227,1.247
0.959,0.991,0.287,0.131
0.502,0.999,0.998,0.034
0.971,0.998,0.241,0.065
0.587,0.474,0.909,1.025
0.876,0.927,0.498,0.383
0.972,0.992,0.237,0.126
0.949,0.991,0.32,0.136
0.962,0.394,0.274,1.101
0.971,0.996,0.239,0.092
0.984,1.0,0.181,0.027
0.674,0.998,0.808,0.063
0.975,0.999,0.224,0.038
0.981,0.999,0.196,0.033
0.953,0.278,0.306,1.202
0.67,1.0,0.812,0.0
0.965,0.996,0.264,0.091
0.401,0.441,1.094,1.057
0.872,0.405,0.505,1.091
0.724,1.0,0.743,0.0
