orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.967,0.997,0.258,0.073
0.977,0.883,0.215,0.484
0.931,0.968,0.37,0.255
0.996,0.662,0.087,0.823
0.97,1.0,0.246,0.026
0.978,0.999,0.212,0.042
0.939,0.999,0.35,0.055
0.971,0.996,0.239,0.086
0.944,0.375,0.334,1.118
0.961,0.94,0.278,0.347
0.972,0.201,0.238,1.264
0.791,0.899,0.646,0.449
0.986,0.997,0.168,0.071
0.911,1.0,0.421,0.031
0.972,0.997,0.235,0.072
0.951,0.998,0.312,0.059
0.85,1.0,0.548,0.019
0.943,0.999,0.336,0.043
0.918,0.898,0.404,0.451
0.872,0.945,0.507,0.33
