orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.363,1.0,1.129,0.0
0.905,0.906,0.436,0.434
0.846,0.953,0.556,0.307
0.957,0.999,0.292,0.035
0.949,0.998,0.319,0.061
0.33,0.998,1.158,0.069
0.966,1.0,0.262,0.02
0.978,1.0,0.209,0.029
0.918,0.942,0.405,0.341
0.134,0.965,1.316,0.265
0.142,0.257,1.31,1.219
0.922,0.928,0.394,0.378
0.989,0.29,0.15,1.192
0.97,0.999,0.246,0.048
0.975,0.992,0.226,0.122
0.971,0.999,0.241,0.039
0.973,1.0,0.233,0.027
0.981,0.997,0.197,0.078
0.967,0.689,0.256,0.789
0.922,1.0,0.394,0.02
