orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.904,0.997,0.439,0.079
0.458,0.471,1.042,1.029
0.754,0.997,0.702,0.083
0.331,1.0,1.156,0.0
0.636,0.327,0.854,1.16
0.96,0.996,0.284,0.086
0.914,1.0,0.415,0.0
0.944,0.999,0.334,0.036
0.943,0.996,0.338,0.088
0.979,0.999,0.204,0.045
0.849,0.561,0.55,0.937
0.594,1.0,0.901,0.0
0.514,0.998,0.986,0.056
0.951,0.997,0.312,0.074
0.739,0.993,0.722,0.122
0.956,0.904,0.297,0.438
0.964,1.0,0.267,0.0
0.627,0.687,0.864,0.791
0.926,0.999,0.385,0.047
0.961,0.998,0.278,0.065
