orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.982,0.999,0.188,0.054
0.965,0.996,0.266,0.092
0.968,0.998,0.251,0.064
0.973,0.997,0.231,0.074
0.972,0.999,0.236,0.035
0.966,0.998,0.261,0.063
0.981,0.997,0.194,0.073
0.909,0.996,0.426,0.086
0.895,0.504,0.459,0.996
0.942,0.334,0.339,1.154
0.929,1.0,0.377,0.029
0.931,0.995,0.371,0.097
0.973,0.999,0.233,0.055
0.755,0.899,0.7,0.449
0.964,0.997,0.268,0.082
0.904,0.999,0.439,0.034
0.93,0.998,0.373,0.065
0.962,0.999,0.277,0.035
0.948,0.996,0.321,0.086
0.936,0.999,0.357,0.034
