orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.884,1.0,0.482,0.0
0.46,0.969,1.039,0.247
0.857,0.997,0.534,0.075
0.921,0.955,0.398,0.3
0.764,0.943,0.687,0.336
0.96,0.665,0.282,0.819
0.918,0.965,0.404,0.265
0.786,0.536,0.654,0.963
0.743,0.98,0.717,0.202
0.679,0.681,0.801,0.799
0.915,1.0,0.411,0.0
0.507,0.807,0.993,0.622
0.945,0.985,0.331,0.175
0.685,0.487,0.793,1.013
0.686,0.448,0.792,1.051
0.403,0.49,1.093,1.01
0.886,0.992,0.478,0.128
0.945,0.994,0.33,0.112
0.959,0.992,0.285,0.127
0.384,0.996,1.11,0.089
