orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.957,0.997,0.292,0.077
0.771,0.793,0.676,0.643
0.94,0.926,0.348,0.386
0.958,0.78,0.291,0.664
0.808,1.0,0.619,0.0
0.868,0.92,0.514,0.399
0.971,0.991,0.242,0.138
0.954,0.823,0.302,0.595
0.521,0.515,0.978,0.985
0.559,0.979,0.939,0.205
0.698,0.961,0.777,0.279
0.769,0.412,0.679,1.084
0.727,0.7,0.738,0.775
0.896,0.946,0.456,0.33
0.84,0.953,0.567,0.307
0.954,0.695,0.304,0.782
0.526,0.58,0.974,0.917
0.676,1.0,0.805,0.0
0.721,0.749,0.747,0.709
0.981,0.718,0.197,0.751
