orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.692,0.972,0.785,0.235
0.965,0.969,0.265,0.249
0.933,0.941,0.366,0.343
0.986,0.617,0.169,0.876
0.635,0.606,0.854,0.888
0.943,0.991,0.336,0.135
0.286,0.369,1.195,1.124
0.473,0.999,1.026,0.048
0.955,0.991,0.298,0.135
0.962,0.997,0.277,0.08
0.846,0.959,0.556,0.287
0.748,0.686,0.711,0.793
0.917,0.968,0.407,0.251
0.914,0.448,0.415,1.051
0.949,0.707,0.32,0.765
0.912,0.943,0.421,0.337
0.935,0.979,0.362,0.206
0.778,0.706,0.666,0.767
0.388,0.426,1.106,1.072
0.747,0.735,0.711,0.727
