orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.424,0.99,1.073,0.142
0.514,0.488,0.986,1.012
0.715,0.721,0.755,0.747
0.973,0.996,0.233,0.086
0.957,0.996,0.292,0.091
0.973,0.996,0.231,0.095
0.928,0.976,0.38,0.218
0.932,0.991,0.37,0.135
0.969,0.998,0.25,0.06
0.8,0.977,0.632,0.216
0.848,0.58,0.552,0.917
0.88,0.936,0.489,0.357
0.95,0.987,0.316,0.159
0.68,0.973,0.8,0.233
0.856,0.985,0.537,0.171
0.803,0.622,0.628,0.869
0.957,0.992,0.295,0.129
0.665,0.999,0.818,0.051
0.938,0.988,0.352,0.157
0.383,1.0,1.111,0.0
