orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.881,0.991,0.487,0.133
0.888,0.979,0.473,0.206
0.929,0.793,0.376,0.644
0.968,0.977,0.254,0.215
0.498,0.973,1.002,0.234
0.936,0.864,0.359,0.521
0.972,0.987,0.238,0.159
0.977,0.985,0.215,0.171
0.971,0.988,0.241,0.155
0.811,0.995,0.616,0.101
0.617,0.986,0.875,0.166
0.552,1.0,0.947,0.0
0.82,0.973,0.6,0.233
0.895,0.906,0.458,0.433
0.696,0.703,0.78,0.771
0.828,0.995,0.586,0.105
0.874,0.995,0.503,0.103
0.825,0.985,0.592,0.173
0.945,0.985,0.331,0.175
0.857,0.899,0.535,0.45
