orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.899,0.465,0.449,1.034
0.835,0.963,0.575,0.271
0.564,0.513,0.933,0.987
0.833,0.949,0.577,0.32
0.704,0.571,0.77,0.926
0.852,0.853,0.545,0.543
0.903,1.0,0.44,0.0
0.857,0.949,0.535,0.321
0.867,0.971,0.515,0.241
0.748,0.928,0.709,0.381
0.959,0.978,0.285,0.209
0.954,0.963,0.303,0.271
0.955,0.977,0.301,0.213
0.855,0.972,0.538,0.238
0.833,0.399,0.579,1.097
0.784,1.0,0.657,0.0
0.938,0.972,0.352,0.235
0.743,0.981,0.717,0.194
0.836,0.44,0.573,1.058
0.637,1.0,0.852,0.0
