orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.97,0.938,0.244,0.353
0.823,0.937,0.596,0.354
0.739,0.945,0.723,0.331
0.943,0.984,0.337,0.181
0.771,0.978,0.676,0.21
0.798,0.98,0.635,0.202
0.876,0.955,0.498,0.299
0.95,0.993,0.316,0.118
0.694,0.524,0.783,0.976
0.874,0.944,0.501,0.334
0.794,0.312,0.641,1.173
0.677,0.574,0.803,0.923
0.942,0.959,0.342,0.288
0.812,0.988,0.614,0.153
0.95,0.951,0.316,0.314
0.744,0.957,0.715,0.294
0.517,0.99,0.983,0.144
0.924,0.953,0.39,0.307
0.794,0.302,0.642,1.181
0.625,0.959,0.866,0.287
