orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.921,0.526,0.398,0.974
0.825,0.722,0.592,0.746
0.904,0.997,0.438,0.077
0.742,0.966,0.718,0.26
0.938,0.979,0.351,0.205
0.357,0.963,1.134,0.273
0.904,0.995,0.439,0.1
0.987,0.989,0.163,0.147
0.817,0.837,0.606,0.57
0.467,0.991,1.033,0.132
0.559,0.79,0.94,0.648
0.718,0.731,0.751,0.734
0.46,0.289,1.039,1.193
0.939,0.98,0.349,0.2
0.945,0.989,0.333,0.145
0.958,0.997,0.288,0.082
0.82,0.998,0.601,0.068
0.904,0.974,0.439,0.227
0.899,0.577,0.448,0.92
0.917,1.0,0.407,0.0
