orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.835,0.986,0.574,0.165
0.959,0.995,0.287,0.104
0.888,0.594,0.474,0.901
0.529,0.969,0.971,0.25
1.0,1.0,0.0,0.0
0.887,0.974,0.475,0.226
0.651,1.0,0.835,0.0
0.745,0.995,0.713,0.097
0.955,0.966,0.301,0.262
0.956,0.99,0.296,0.138
0.852,0.98,0.545,0.198
0.493,0.988,1.007,0.156
0.515,1.0,0.985,0.0
0.501,1.0,0.999,0.0
0.723,1.0,0.744,0.0
0.387,0.958,1.108,0.291
0.929,0.238,0.378,1.235
0.963,0.95,0.271,0.316
0.88,0.984,0.489,0.179
0.604,0.972,0.889,0.237
