orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.966,0.778,0.259,0.666
0.913,0.966,0.417,0.26
0.945,0.978,0.332,0.209
0.943,0.909,0.339,0.426
0.935,0.89,0.361,0.469
0.889,0.962,0.471,0.277
0.942,0.973,0.342,0.233
0.866,0.971,0.518,0.242
0.514,0.491,0.986,1.009
1.0,0.222,0.0,1.247
0.637,0.997,0.852,0.082
0.926,0.924,0.385,0.389
0.9,0.941,0.447,0.342
0.786,0.758,0.655,0.695
0.893,0.964,0.463,0.27
0.664,0.987,0.819,0.158
0.938,0.867,0.353,0.517
0.955,0.89,0.299,0.469
0.94,0.966,0.346,0.262
0.924,0.992,0.391,0.13
