orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.873,0.994,0.504,0.111
0.669,0.828,0.813,0.587
0.949,0.998,0.32,0.068
0.938,0.989,0.353,0.146
0.86,0.717,0.529,0.753
0.931,0.993,0.371,0.117
0.934,0.993,0.364,0.118
0.892,0.881,0.464,0.487
0.921,0.986,0.397,0.164
0.846,0.822,0.556,0.597
0.86,0.905,0.529,0.435
0.912,0.841,0.42,0.564
0.942,0.993,0.341,0.118
0.662,0.655,0.823,0.831
0.717,0.997,0.752,0.076
0.693,0.699,0.784,0.776
0.823,0.996,0.595,0.093
0.904,0.994,0.439,0.108
0.957,0.998,0.293,0.066
0.689,0.999,0.788,0.051
