orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.964,0.988,0.269,0.158
0.867,0.918,0.515,0.406
0.962,0.99,0.275,0.138
0.963,0.89,0.272,0.468
0.8,1.0,0.632,0.0
0.932,0.977,0.369,0.215
0.928,0.996,0.38,0.094
0.955,0.893,0.299,0.463
0.961,0.888,0.278,0.474
0.721,1.0,0.748,0.0
0.911,0.996,0.423,0.089
0.896,0.977,0.456,0.216
0.906,1.0,0.434,0.0
0.928,0.993,0.38,0.117
0.906,0.991,0.435,0.137
0.946,0.997,0.329,0.083
0.888,0.691,0.474,0.787
0.827,0.796,0.589,0.639
0.907,0.995,0.431,0.102
0.909,0.995,0.427,0.096
