orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.869,0.91,0.511,0.425
0.964,0.98,0.267,0.202
0.963,0.986,0.272,0.165
0.925,0.997,0.387,0.074
0.946,0.994,0.328,0.107
0.963,0.996,0.272,0.091
0.962,0.635,0.275,0.854
0.805,0.999,0.625,0.037
0.977,0.999,0.215,0.041
0.985,1.0,0.173,0.031
0.94,0.995,0.345,0.096
0.953,0.992,0.306,0.126
0.954,0.996,0.303,0.085
0.793,0.732,0.644,0.732
0.849,0.852,0.55,0.543
0.961,0.99,0.281,0.141
0.957,0.986,0.293,0.167
0.873,0.891,0.505,0.467
0.713,0.662,0.758,0.822
0.92,0.994,0.401,0.108
